,cmp,0,1,2,3,4
0,한국토지주택공사,0.0,0.0,0.0,0.9992043375968933,0.0
1,한전KPS(주),0.0,0.0,0.0,0.9988240599632263,0.0
2,현대엔지니어링(주),0.5615941286087036,0.3765884041786194,0.0,0.011261342093348503,0.05023295432329178
3,현대건설(주),0.9982858896255493,0.0,0.0,0.0,0.0
4,(주)대우건설,0.710773229598999,0.2873590886592865,0.0,0.0,0.0
5,지에스건설(주),0.7905779480934143,0.20778025686740875,0.0,0.0,0.0
6,에스케이에코플랜트(주),0.45769476890563965,0.0,0.0,0.0,0.5399762988090515
7,주택관리공단(주),0.0,0.0,0.0,0.6446229219436646,0.35385724902153015
8,디엘(주),0.012204347178339958,0.9516396522521973,0.012053042650222778,0.01202515047043562,0.012077806517481804
9,(주)포스코이앤씨,0.0422443225979805,0.0,0.0,0.0,0.9557865858078003
10,한국도로공사,0.0,0.0,0.0,0.345537394285202,0.6521653532981873
11,롯데건설(주),0.44668012857437134,0.016446871683001518,0.13581779599189758,0.0,0.4003448188304901
12,(주)국보디자인,0.9905189275741577,0.0,0.0,0.0,0.0
13,(주)한국가스기술공사,0.0,0.0,0.0,0.9961289763450623,0.0
14,(주)보미건설,0.0,0.9218061566352844,0.07114540785551071,0.0,0.0
15,(주)서희건설,0.053958967328071594,0.45861825346946716,0.4120640456676483,0.07453858107328415,0.0
16,(주)수산인더스트리,0.0,0.0,0.0,0.9976215362548828,0.0
17,(주)도화엔지니어링,0.0,0.9405626654624939,0.0,0.05729091167449951,0.0
18,한양이엔지(주),0.9212220907211304,0.07673939317464828,0.0,0.0,0.0
19,휴먼터치(주),0.0,0.9939320087432861,0.0,0.0,0.0
20,(주)금화피에스시,0.0,0.0,0.0,0.9974589943885803,0.0
21,(주)부영주택,0.0,0.8841501474380493,0.0,0.10826979577541351,0.0
22,(주)호반건설,0.4449141025543213,0.550499439239502,0.0,0.0,0.0
23,코오롱글로벌(주),0.7395191788673401,0.0,0.1498042643070221,0.0,0.1077425628900528
24,(주)한화건설,0.34222412109375,0.11395486444234848,0.0,0.0,0.5417959094047546
25,(주)케이씨씨건설,0.0,0.0,0.9952964782714844,0.0,0.0
26,대방건설(주),0.0,0.9774776697158813,0.01703730598092079,0.0,0.0
27,(주)에이치제이중공업,0.44055038690567017,0.44004952907562256,0.11632408946752548,0.0,0.0
28,한신공영(주),0.2949727177619934,0.3438349664211273,0.35832706093788147,0.0,0.0
29,(주)케이알산업,0.0,0.0,0.9730535745620728,0.02427215874195099,0.0
30,계룡건설산업(주),0.8992864489555359,0.0,0.09585949033498764,0.0,0.0
31,(주)희림종합건축사사무소,0.6270065307617188,0.36638274788856506,0.0,0.0,0.0
32,금호건설(주),0.4135233163833618,0.3782358169555664,0.205057755112648,0.0,0.0
33,(주)유신,0.0,0.7785301804542542,0.21287409961223602,0.0,0.0
34,에스지씨이테크건설(주),0.10527161508798599,0.49364301562309265,0.3226695954799652,0.0,0.07720933854579926
35,아이에스동서(주),0.9887480735778809,0.0,0.0,0.0,0.0
36,(주)금강주택,0.0,0.0,0.9971431493759155,0.0,0.0
37,세보엠이씨(주),0.747322678565979,0.24746517837047577,0.0,0.0,0.0
38,코레일테크(주),0.0,0.0,0.0,0.0,0.996423065662384
39,우미건설(주),0.0,0.4406021237373352,0.0,0.0,0.5538029670715332
40,(주)반도건설,0.6005943417549133,0.0,0.39434945583343506,0.0,0.0
41,(주)한국종합기술,0.0,0.9942485690116882,0.0,0.0,0.0
42,한국산업단지공단,0.0,0.0,0.0,0.9957379102706909,0.0
43,(주)서한,0.0,0.0,0.9942694306373596,0.0,0.0
44,(주)다원앤컴퍼니,0.9942692518234253,0.0,0.0,0.0,0.0
45,(주)해안종합건축사사무소,0.31894969940185547,0.6774724721908569,0.0,0.0,0.0
46,태영건설(주),0.14633877575397491,0.012354823760688305,0.21990099549293518,0.0,0.6204028725624084
47,한솔이엠이(주),0.0,0.7756136655807495,0.0,0.1987515091896057,0.0
48,(주)동해종합기술공사,0.0,0.9954946041107178,0.0,0.0,0.0
49,씨비알이코리아(주),0.9897607564926147,0.0,0.0,0.0,0.0
50,교보리얼코(주),0.6529951691627502,0.12755811214447021,0.0,0.21529905498027802,0.0
51,두산건설(주),0.989604651927948,0.0,0.0,0.0,0.0
52,쌍용건설(주),0.714005172252655,0.0,0.27742496132850647,0.0,0.0
53,삼호개발(주),0.22347278892993927,0.06668232381343842,0.7068789601325989,0.0,0.0
54,벽산엔지니어링(주),0.0,0.9934353828430176,0.0,0.0,0.0
55,동부건설(주),0.2955555319786072,0.08147165924310684,0.022859416902065277,0.0,0.6110097765922546
56,(주)한양,0.0,0.14605817198753357,0.8490014672279358,0.0,0.0
57,브니엘네이처(주),0.0,0.0,0.0,0.9845297336578369,0.0
58,강산건설(주),0.0,0.8830914497375488,0.1126323938369751,0.0,0.0
59,(주)선진엔지니어링종합건축사사무소,0.0,0.9936510324478149,0.0,0.0,0.0
60,(주)수성엔지니어링,0.0,0.5586140155792236,0.30580613017082214,0.1330597847700119,0.0
61,현대산업개발(주),0.9845978021621704,0.0,0.0,0.0,0.0
62,(주)우리피앤에스,0.010842418298125267,0.9567797183990479,0.010724799707531929,0.010890450328588486,0.010762645862996578
63,자이에스앤디(주),0.9897566437721252,0.0,0.0,0.0,0.0
64,동일기술공사(주),0.0,0.0,0.9894920587539673,0.0,0.0
65,존스랑라살(주),0.1407320499420166,0.16216424107551575,0.0,0.6938202977180481,0.0
66,케이지엔지니어링종합건축사사무소(주),0.0,0.9940255880355835,0.0,0.0,0.0
67,(주)휴머스원,0.0,0.5465426445007324,0.0,0.445675253868103,0.0
68,지에스네오텍(주),0.0,0.5426940321922302,0.08933926373720169,0.36295285820961,0.0
69,존슨콘트롤즈인터내셔널코리아(주),0.0,0.3924153447151184,0.0,0.12579943239688873,0.4757624864578247
70,제일건설(주),0.0,0.09354272484779358,0.0,0.0,0.9019815325737
71,(주)서영엔지니어링,0.0,0.9904686808586121,0.0,0.0,0.0
72,(주)정림건축종합건축사사무소,0.0707709938287735,0.24229048192501068,0.0,0.6826614737510681,0.0
73,디엘건설(주),0.9239456057548523,0.0,0.06936213374137878,0.0,0.0
74,듀어코리아(주),0.0,0.23050621151924133,0.0,0.0,0.7571512460708618
75,(주)금성백조주택,0.0,0.0,0.9743456244468689,0.0,0.0
76,(주)대혜건축,0.11219888925552368,0.8800106644630432,0.0,0.0,0.0
77,(주)제일엔지니어링종합건축사사무소,0.0,0.9867829084396362,0.0,0.0,0.0
78,(주)포스코플랜텍,0.04880283400416374,0.8976272344589233,0.0,0.048827167600393295,0.0
79,한방유비스(주),0.0,0.9932716488838196,0.0,0.0,0.0
80,(주)은민에스엔디,0.9930081963539124,0.0,0.0,0.0,0.0
81,경호엔지니어링종합건축사사무소(주),0.0,0.9928074479103088,0.0,0.0,0.0
82,대우조선해양건설(주),0.0,0.2951369881629944,0.6979659795761108,0.0,0.0
83,(주)한라,0.17256362736225128,0.0,0.058886781334877014,0.0,0.7618089914321899
84,(주)계선,0.9485750794410706,0.039668820798397064,0.0,0.0,0.0
85,두양건축(주),0.0778559073805809,0.0,0.9132669568061829,0.0,0.0
86,두원이에프씨(주),0.9771966338157654,0.0,0.0,0.0,0.0
87,(주)행림종합건축사사무소,0.0,0.9041426181793213,0.0,0.08558133989572525,0.0
88,(주)동아지질,0.0583011694252491,0.5775963664054871,0.0,0.357794851064682,0.0
89,한미글로벌건축사사무소(주),0.0,0.6580634117126465,0.021688304841518402,0.3154563307762146,0.0
90,(주)신안,0.7249025702476501,0.26426658034324646,0.0,0.0,0.0
91,건일엠이씨(주),0.0,0.9879616498947144,0.0,0.0,0.0
92,간삼건축종합건축사사무소(주),0.0,0.813281238079071,0.15435880422592163,0.0,0.025812657549977303
93,이웨이(주),0.3568355441093445,0.6374372243881226,0.0,0.0,0.0
94,평화엔지니어링(주),0.0,0.9882494807243347,0.0,0.0,0.0
95,(주)서해종합건설,0.0,0.0,0.9964302182197571,0.0,0.0
96,경기주택도시공사,0.0,0.0,0.0,0.4746999144554138,0.5176211595535278
97,신세계건설(주),0.9932969212532043,0.0,0.0,0.0,0.0
98,대우산업개발(주),0.0,0.0,0.9908542037010193,0.0,0.0
99,(주)삼원에스앤디,0.5801820158958435,0.4072801172733307,0.0,0.0,0.0
100,(주)타워피엠씨,0.0,0.13146068155765533,0.0,0.8550870418548584,0.0
101,동일인테리어(주),0.057043690234422684,0.9298115372657776,0.0,0.0,0.0
102,(주)신보,0.0,0.9804217219352722,0.0,0.0,0.0
103,동광제약(주),0.0,0.9883166551589966,0.0,0.0,0.0
104,서울데이타통신(주),0.4338214695453644,0.0,0.0,0.5485504269599915,0.0
105,(주)세아네트웍스,0.0,0.9829676747322083,0.0,0.0,0.0
106,(주)엠에이피한터인종합건축사사무소,0.0,0.979982852935791,0.0,0.0,0.0
107,성창이엔씨(주),0.051252804696559906,0.05047282949090004,0.05106163024902344,0.05054869130253792,0.7966640591621399
